الاجمالي,الرصيد,الايراد,المصروف,التاريخ,ملاحظات,ID
47593,-155,,155,"10/13/25 00:00:00","شفت هدير",1223
49173,2000,2000,,"10/13/25 00:00:00","غسالة الشروق",1225
73593,24420,24420,,"10/14/25 00:00:00","طنطا",1226
72299,-754,,754,"10/15/25 00:00:00","إضافي  شهر 9",1228
82124,9825,9825,,"10/15/25 00:00:00","طنطا",1229
82104,-20,,20,"10/15/25 00:00:00","كانيولا",1230
82004,-100,,100,"10/15/25 00:00:00","صافي",1231
81004,-1000,,1000,"10/15/25 00:00:00","اشتراك البرنامج شهرين",1232
80824,-180,,180,"10/15/25 00:00:00","نوري",1233
60734,-90,,90,"10/15/25 00:00:00","جولد أي",1235
60504,-230,,230,"10/16/25 00:00:00","كابل باور 2 الشروق",1236
63234,2730,3165,435,"10/16/25 00:00:00","بلاطي 275/عصام160 مواصلات",1237
63144,-90,,90,"10/16/25 00:00:00","نوري",1239
58964,-3000,,3000,"10/18/25 00:00:00","هشام السعدني",1242
61094,2130,2255,125,"10/18/25 00:00:00","شاي و سكر",1243
61094,0,300,300,"10/18/25 00:00:00","صافي",1244
61034,-60,,60,"10/19/25 00:00:00","فرق شفت د عمر",1245
53734,-250,,250,"10/19/25 00:00:00","عمولة دفع 20000 تأمينات",1247
67299,13565,13565,,"10/19/25 00:00:00","طنطا",1248
66749,-550,,550,"10/19/25 00:00:00","انستا",1249
66734,-15,,15,"10/19/25 00:00:00","خل",1250
66644,-90,,90,"10/19/25 00:00:00","نوري",1251
66144,-500,,500,"10/19/25 00:00:00","السعدني",1252
64894,0,30000,30000,"10/20/25 00:00:00","فيزا البنك الأهلي تسترد من العياده-تم السدادمن عيادة كفر الشيخ",1255
69439,4545,4725,180,"10/20/25 00:00:00","نوري",1256
104389,34970,34970,,"10/21/25 00:00:00","طنطا",1258
103989,-400,,400,"04/22/25 00:00:00","صافي",1259
103639,-350,,350,"04/22/25 00:00:00","باور بنك",1260
101759,-1880,,1880,"04/22/25 00:00:00","كهرباء الدار",1261
117679,15920,16010,90,"10/22/25 00:00:00","جولد اي",1262
114679,-3000,20000,23000,"10/22/25 00:00:00","السعدني/تم سداد20000 يوم27-10",1263
114589,0,1500,1500,"10/23/25 00:00:00","الشناوي يستردو السبت-تم",1265
114589,0,1500,1500,"10/23/25 00:00:00","د سعيد",1266
116294,1705,1825,120,"10/23/25 00:00:00","أبو يوسف",1267
121189,6025,6225,200,"10/25/25 00:00:00","ابويوسف",1270
121169,-20,,20,"10/25/25 00:00:00","طه",1271
121079,-90,,90,"10/25/25 00:00:00","نوري",1272
138109,17230,17280,50,"10/26/25 00:00:00","رسالة- د محمد",1275
138084,-25,,25,"10/26/25 00:00:00","شاي+سلك",1276
137924,-160,,160,"10/26/25 00:00:00","فاتورة مياه",1277
137874,-50,,50,"10/26/25 00:00:00","صندوق القرض",1278
137784,-90,,90,"10/26/25 00:00:00","نوري",1279
135784,-2000,,2000,"10/27/25 00:00:00","صيانة يونتات كفر الشيخ+يونت الشروق",1280
136669,885,905,20,"10/27/25 00:00:00","مواصلات طه لصواف",1282
133769,-2900,,2900,"10/27/25 00:00:00","الغرفة",1283
133269,-500,,500,"10/27/25 00:00:00","السعدني/كهربا",1284
126769,-6500,,6500,"10/27/25 00:00:00","السعدني/العربيه",1285
121719,-5050,0,5050,"10/27/25 00:00:00","محمد رمضان الدكتوره + مواصلات",1286
142829,21110,21210,100,"10/28/25 00:00:00","صيانة لمبات عمليات الشروق/باقي اليومية التانية الدرج مقفول",1287
142764,0,300,300,"10/28/25 00:00:00","ايمان ياسر يستردو غدا",1290
141764,-1000,,1000,"10/29/25 00:00:00","بنزين-أبو يوسف",1291
140244,-320,,320,"10/29/25 00:00:00","تعاقد الشروق",1293
140244,0,200,200,"10/29/25 00:00:00","صافي-سداد 100 يوم10-12",1294
140244,0,300,300,"10/29/25 00:00:00","ام محمود-سداد300 يوم14-12",1295
140244,0,200,200,"10/29/25 00:00:00","ريهام",1296
152604,12360,22360,10000,"10/29/25 00:00:00","انستا باي (حساب العملية-شهرية جاد تم تحويلها شهر 10)",1297
152604,0,4000,4000,"10/29/25 00:00:00","شهرية جاد تم دفعها من انستا باي مصطفى السعدني",1298
152299,-215,,215,"10/29/25 00:00:00","انستا",1300
153719,-45,,45,"10/30/25 00:00:00","شيكرتون",1302
153589,-130,,130,"10/30/25 00:00:00","شاي",1303
153314,-275,,275,"10/30/25 00:00:00","بالطوهات",1304
153074,-240,,240,"10/30/25 00:00:00","مواصلات عصام ابن سينا",1305
159264,2435,2435,,"11/01/25 00:00:00","من جساب اوفو حتى شهر 10",1308
130264,-29000,,29000,"11/01/25 00:00:00","تحت حساب العيادة شهر10",1309
75350,-1250,,1250,"11/01/25 00:00:00","عم سعيد البواب",1311
75150,-200,,200,"11/01/25 00:00:00","أبو يوسف",1312
73650,-1500,,1500,"11/01/25 00:00:00","البنات / القران",1313
71850,-1800,,1800,"11/01/25 00:00:00","اوردر الدكتوره",1314
77258,-27,,27,"11/01/25 00:00:00","ينسون",1317
77138,-120,,120,"11/01/25 00:00:00","منظفات",1318
76988,-150,,150,"11/02/25 00:00:00","أبو يوسف / د السعدني",1319
49488,-26600,,26600,"11/02/25 00:00:00","ايجار بطرس",1321
65603,16115,16115,,"11/02/25 00:00:00","الشروق",1322
62103,-3500,,3500,"11/02/25 00:00:00","قسط امان / الدكتوره",1323
69168,7065,9115,2050,"11/03/25 00:00:00","انستا (1500+550)",1324
69013,-155,,155,"11/03/25 00:00:00","شفت هدير",1325
68593,-330,,330,"11/04/25 00:00:00","عدد11 قطرة سيكلو بلجيكا*30",1327
68593,0,2500,2500,"11/04/25 00:00:00","الدكتوره / تابروير-سداد من كفر الشيخ شهر 10",1328
68043,-550,450,1000,"11/04/25 00:00:00","البنات / القران-سداد من كفر الشيخ شهر10",1329
58523,-37000,,37000,"11/04/25 00:00:00","جاد اسطوانة غاز+الشهرية+1000 مع السعدني",1332
57723,-800,,800,"11/04/25 00:00:00","عصام مناديل سخب و بكر",1333
36523,-21200,,21200,"11/05/25 00:00:00","ايجار الشروق",1334
45503,9940,9940,,"11/05/25 00:00:00","طنطا",1336
45453,-50,1450,1500,"11/05/25 00:00:00","ام محمود-سداد11-11 من النسبة1000-450 يوم14-12",1337
46173,720,810,90,"11/06/25 00:00:00","نوري",1338
44173,-2000,,2000,"11/05/25 00:00:00","أبو يوسف/الدكتوره",1339
44173,0,500,500,"11/06/25 00:00:00","د السعدني / بيت السريع-سداد من كفر الشيخ شهر10",1341
43273,-900,,900,"11/06/25 00:00:00","اوردر السعدني",1343
34773,-8500,,8500,"11/07/25 00:00:00","حساب فايلات الاشعه",1344
34773,0,600,600,"11/07/25 00:00:00","صافي ليوم 10-تم السداد من النسبة",1345
38788,4015,4195,180,"11/08/25 00:00:00","جولد اي",1346
38608,-180,,180,"11/08/25 00:00:00","نوري",1347
38553,-55,,55,"11/08/25 00:00:00","هاند واش الشروق",1348
53533,14980,14980,,"11/09/25 00:00:00","طنطا",1349
38333,-15200,,15200,"11/10/25 00:00:00","المكافأة",1350
7926,-30407,,30407,"11/10/25 00:00:00","نسبة شهر 10",1351
23016,15090,15250,160,"11/10/25 00:00:00","شفت هدير",1352
22151,-800,,800,"10/11/25 00:00:00","أبو يوسف",1355
48961,26810,27050,240,"10/11/25 00:00:00","مواصلات عصام ابن سينا",1356
40961,-8000,,8000,"10/11/25 00:00:00","د السعدني  من حساب مينا تورز",1357
40361,-600,,600,"10/11/25 00:00:00","أبو يوسف / د السعدني دره",1358
39276,-115,,115,"10/12/25 00:00:00","شهادة مخالفات د السعدني",1361
39191,-85,,85,"10/12/25 00:00:00","دوا د السعدني",1362
39061,-130,,130,"10/12/25 00:00:00","انستا",1363
59641,20580,20735,155,"11/12/25 00:00:00","شفت هدير",1364
59576,-65,,65,"11/12/25 00:00:00","ايو يوسف لبن د السعدني",1365
59496,-80,,80,"11/12/25 00:00:00","مواصلات فايلات اشعة",1366
57096,-1400,,1400,"11/12/25 00:00:00","أبو يوسف / الدكتوره ",1368
56876,-220,,220,"11/12/25 00:00:00","سليكون للحوض+دليفري",1369
59576,2700,2735,35,"11/12/25 00:00:00","تحت حساب مشتريات سباكة",1370
49301,-275,,275,"11/15/25 00:00:00","البالطو",1373
49296,-5,,5,"11/15/25 00:00:00","عجز ورديه الخميس بليل",1374
51747,2451,2530,79,"11/15/25 00:00:00","سكر",1375
51647,-100,,100,"11/15/25 00:00:00","اكرامية عماد توصيل العدسات",1376
51647,0,100,100,"11/15/25 00:00:00","طه",1377
51547,-100,,100,"11/16/25 00:00:00","ابويوسف",1378
72832,21285,21285,0,"11/16/25 00:00:00","صافي-سداد 100 يوم10-12",1379
72817,-15,,15,"11/16/25 00:00:00","كوريكتور",1380
72662,-90,,90,"11/16/25 00:00:00","نوري",1382
71272,-1390,,1390,"11/16/25 00:00:00","حساب ورق 2 باكت 80 جرام + مواصلات",1383
70772,-500,,500,"11/16/25 00:00:00","عصام-سلفة الإجمالي 2000 باقي السلفة مكتوب 1-6-25",1384
70472,-300,,300,"11/16/25 00:00:00","ابو يوسف حجارة",1385
60472,-10000,,10000,"11/16/25 00:00:00","سلفة السعدني تسدد شهريا",1387
60372,-100,,100,"11/16/25 00:00:00","م.رضا",1388
46314,-14058,,14058,"11/17/25 00:00:00","تامينات",1389
44744,2430,2520,90,"11/17/25 00:00:00","نوري",1391
42244,-2500,,2500,"11/18/25 00:00:00","عصام جونات",1392
42444,200,200,,"11/18/25 00:00:00","تصوير ورق د كريم",1393
41544,-900,,900,"11/18/25 00:00:00","د سغيد تحت حساب النسبه",1394
40994,-550,,550,"11/18/25 00:00:00","كهربا330+باقي م.التامينات+العمولة",1395
69714,-180,,180,"11/18/25 00:00:00","نوري",1397
68734,-980,,980,"11/18/25 00:00:00","عجز",1398
66654,-1880,,1880,"11/18/25 00:00:00","كهرباء الدار",1400
65989,-200,,200,"11/19/25 00:00:00","ام محمود",1402
79249,13260,13280,20,"11/19/25 00:00:00","طه",1403
78784,-465,,465,"11/19/25 00:00:00","انستا",1404
78494,-290,,290,"11/19/25 00:00:00","قهوه السعدني",1405
76914,-180,,180,"11/19/25 00:00:00","نوري",1407
76439,-475,,475,"11/19/25 00:00:00","عدسات شهريه 2",1408
77319,880,1060,180,"11/20/25 00:00:00","نوري",1409
77049,-180,,180,"11/22/25 00:00:00","مياه",1411
80139,3090,3110,20,"11/22/25 00:00:00","عصير د السعدني",1412
79909,-50,,50,"11/22/25 00:00:00","طه",1415
78909,-1000,,1000,"11/23/25 00:00:00","أبو يوسف بنزين",1416
74909,-4000,,4000,"11/23/25 00:00:00","تحويل هشام",1417
73259,-1500,,1500,"11/23/25 00:00:00","البنات",1419
71759,-1500,,1500,"11/23/25 00:00:00","حساب 1000 كارت نضاره",1420
86244,14485,14805,320,"11/23/25 00:00:00","تعاقد الشروق",1421
86244,0,200,200,"11/23/25 00:00:00","صافي-سداد10-12",1422
86089,-155,,155,"11/23/25 00:00:00","شقت هدير",1423
85564,-465,,465,"11/23/25 00:00:00","انستا",1426
85544,-20,,20,"11/24/25 00:00:00","طه الصواف",1427
80294,-5000,,5000,"11/24/25 00:00:00","السعدني ليوم ١٠",1429
80139,-155,,155,"11/24/25 00:00:00","شفت هدير",1430
84554,-90,,90,"11/24/25 00:00:00","اوفو",1433
54554,-30000,,30000,"11/24/25 00:00:00","فيزا البنك الاهلي تسدد من العياده",1434
54554,0,3900,3900,"11/24/25 00:00:00","لمبة جهاز كفرالشيخ+2طورش",1435
77089,22535,22535,,"11/25/25 00:00:00",,1436
76839,-100,,100,"11/25/25 00:00:00","صيانه سخان الشروق",1438
76839,0,50,50,"11/25/25 00:00:00","طه",1439
76754,-85,,85,"11/25/25 00:00:00","علبة دبابيس",1440
74954,-1800,,1800,"11/25/25 00:00:00","أبو يوسف بنزين",1441
74774,-90,,90,"11/25/25 00:00:00","جولد اي",1443
80454,5950,6040,90,"11/26/25 00:00:00","اوفو",1445
80289,-165,,165,"11/26/25 00:00:00","انستا",1447
80289,0,200,200,"11/26/25 00:00:00","الشناوي",1448
81754,-25,,25,"11/27/25 00:00:00","سكر",1451
81574,-180,,180,"11/27/25 00:00:00","نوري",1452
81074,-500,,500,"11/27/25 00:00:00","السعدني",1453
79199,-1875,,1875,"11/29/25 00:00:00","قطرات اوجو 18.75*100",1454
80459,1260,1535,275,"11/29/25 00:00:00","بالطوهات",1455
80219,0,50,50,"11/29/25 00:00:00","طه",1457
80039,-180,,180,"11/29/25 00:00:00","نوري",1458
79899,-50,,50,"11/29/25 00:00:00","نورا ",1460
77999,-1900,,1900,"11/30/25 00:00:00","م رضا تسدد من الجمعيه + 3000 شهريا",1461
92644,40,50,10,"11/30/25 00:00:00","زيادة لحالة-10 عجز الشفت التاني",1463
92479,-165,,165,"11/30/25 00:00:00","انستا",1464
39806,-52673,,52673,"12/01/25 00:00:00","مرتبات",1465
19806,0,7000,7000,"12/01/25 00:00:00","كفر الشيخ- تم السداد من عيادة كفر الشيخ",1467
14256,-5550,,5550,"12/01/25 00:00:00","السعدني/الدكتورة",1468
13956,-300,,300,"12/01/25 00:00:00","باقي نسب د سعيد",1469
13836,35,35,,"12/02/25 00:00:00","زيادة لحالة",1471
20806,6970,6970,,"12/02/25 00:00:00","طنطا",1472
19556,-1250,,1250,"12/02/25 00:00:00","عم سعيد",1473
54076,32380,32845,465,"12/02/25 00:00:00","انستا",1476
53986,-90,,90,"12/02/25 00:00:00","نوري",1477
32786,-21200,,21200,"12/03/25 00:00:00","ايجار الشروق",1478
36541,4795,4795,,"12/03/25 00:00:00","فيمتو",1480
7291,-29250,,29250,"12/03/25 00:00:00","ايجار بطرس",1481
6291,-1000,,1000,"12/04/25 00:00:00","عصام اوكره للشروق",1482
6141,-150,,150,"12/04/25 00:00:00","ابو يوسف بسطرمه",1483
7506,1365,1365,0,"12/04/25 00:00:00","طنطا",1484
8948,1442,1470,28,"12/07/25 00:00:00","سكر",1485
8768,-180,,180,"12/07/25 00:00:00","جولد اي",1486
29083,20405,21380,975,"12/08/25 00:00:00","د السعدني ل د محمد عبدالرحيم",1488
29108,25,25,,"12/08/25 00:00:00","دمحمد عبدالرحيم",1489
30743,1635,1635,,"12/09/25 00:00:00","داليا الشروق",1490
30633,-20,,20,"12/09/25 00:00:00","مواصلات طه الصواف",1492
47608,16975,17090,115,"12/09/25 00:00:00","شاي وسكر",1494
47288,-320,,320,"12/09/25 00:00:00","تعاقد الشروق",1495
173,-32715,,32715,"12/10/25 00:00:00","نسبة",1497
-327,-500,,500,"12/10/25 00:00:00","من الخزنه السعدني",1498
-3887,-1260,,1260,"12/10/25 00:00:00","طرد مصطفى السعدني",1500
-107,3780,3870,90,"12/10/25 00:00:00","جولد اي",1501
-257,-150,,150,"12/10/25 00:00:00","د السعدني",1502
1633,1890,2165,275,"12/11/25 00:00:00","بالطوهات",1503
1393,-240,,240,"12/11/25 00:00:00","عصام مواصلات ابن سينا",1504
2408,1105,1195,90,"12/13/25 00:00:00","نوري",1506
2393,-5,,5,"12/13/25 00:00:00","عصام",1508
393,-2000,,2000,"12/13/25 00:00:00","ابو يوسف",1509
4943,0,500,500,"12/14/25 00:00:00","الشناوي",1511
4853,-90,,90,"12/14/25 00:00:00","اوفو",1512
11808,6955,7110,155,"12/15/25 00:00:00","شفت صافي فني",1513
9928,-1880,,1880,"12/15/25 00:00:00","كهرباء الدار",1514
9608,-320,,320,"12/15/25 00:00:00","تعاقد الشروق",1515
33398,23810,23900,90,"12/16/25 00:00:00","جولد اي",1517
20898,-12500,,12500,"12/16/25 00:00:00","فلونس +شهرية جاد",1518
20883,-15,,15,"12/16/25 00:00:00","جهاز محلول",1519
20858,-25,,25,"12/16/25 00:00:00","قهوة ضيف د الصواف",1520
23363,2830,2990,160,"12/17/25 00:00:00","شفت هدير الشروق",1523
22363,-1000,,1000,"12/17/25 00:00:00","السعدني يوم السبت",1524
21763,-600,,600,"12/17/25 00:00:00","ابو يوسف/شنط د السعدني",1525
21673,-90,,90,"12/17/25 00:00:00","اوفو",1526
23703,2030,2120,90,"12/18/25 00:00:00","جولد اي",1527
25238,1535,1715,180,"12/20/25 00:00:00","اوفو",1529
24988,-250,,250,"12/20/25 00:00:00","صيانة كوالين الباب والشباك بطرس",1530
24833,-155,,155,"12/21/25 00:00:00","قهوة السعدني",1531
57963,33130,33220,90,"12/21/25 00:00:00","نوري",1532
57463,-500,,500,"12/21/25 00:00:00","ام محمود ",1533
56463,-1000,,1000,"12/21/25 00:00:00","كهربا",1534
54958,-300,,300,"12/22/25 00:00:00","ابو يوسف جبنه",1538
29958,-25000,,25000,"12/22/25 00:00:00","فيزا البنك الاهلي تسترد من د السعدني",1539
29803,-155,,155,"12/22/25 00:00:00","شفت هدير",1540
44708,14905,15085,180,"12/22/25 00:00:00","نوري",1541
44653,-55,,55,"12/22/25 00:00:00","شاي",1542
54998,10345,10345,,"12/23/25 00:00:00","داليا الشروق",1543
53798,-1200,,1200,"12/23/25 00:00:00","ابو يوسف",1544
34798,-20000,,20000,"12/24/25 00:00:00","باقي حساب المكتب ضرايب",1547
31798,-3000,,3000,"12/24/25 00:00:00","الاوتوريف ٢٥٠٠ج اللينس ميتر ٥٠٠ج",1548
33813,2015,2105,90,"12/25/25 00:00:00","اوفو",1549
35898,2085,2265,180,"12/27/25 00:00:00","نوري",1550
35798,-100,,100,"12/27/25 00:00:00","تصليح الدش",1551
35748,-50,,50,"12/27/25 00:00:00","رسالة- محمد",1552
35748,0,50,50,"12/28/25 00:00:00","رسالة-نورا",1553
48248,12500,12500,,"12/28/25 00:00:00","د السعدني",1554
47648,-600,,600,"12/28/25 00:00:00","ابو يوسف / دره + بسطرمه",1555
67438,-75,,75,"12/28/25 00:00:00","منظفات",1557
66888,-550,,550,"12/28/25 00:00:00","انستا مصطفى السعدني",1558
66673,-215,,215,"12/28/25 00:00:00","انستا مصطفى السعدني",1559
71958,5285,5375,90,"12/29/25 00:00:00","نوري",1560
70438,-1500,,1500,"12/29/25 00:00:00","هدير",1562
70283,-155,,155,"12/29/25 00:00:00","شفت هدير",1563
69663,-620,,620,"12/29/25 00:00:00","محاليل 2 كرتونة",1564
87518,18215,18300,85,"12/30/25 00:00:00","سكر 3 ك",1566
93768,6250,6250,,"12/30/25 00:00:00","د السعدني",1567
93678,0,20,20,"12/30/25 00:00:00","سلفة طه",1569
41816,-51862,,51862,"12/31/25 00:00:00","مرتبات",1570
21816,-20000,,20000,"12/31/25 00:00:00","نسبة العيادة",1571
20466,-1350,,1350,"12/31/25 00:00:00","اوردر الدكتورة",1572
28746,-150,,150,"12/31/25 00:00:00","قهوه",1574
28296,-450,,450,"12/31/25 00:00:00","باقي نسب د سعيد",1575
48296,20000,25000,5000,"12/31/25 00:00:00","وارد من د السعدني/سداد ضريبة كسب العمل",1576
96758,-75,,75,"12/31/24 00:00:00","نوري3000",1
38892,-150,,150,"01/01/25 00:00:00","نوري300",6
41582,-60,,60,"01/02/25 00:00:00","شاي وسكر",11
51237,-200,,200,"01/04/25 00:00:00","ابو يوسف",16
53422,37410,37470,60,"01/07/25 00:00:00","مفاتيح باب الشروق4*15",34
65408,-85,,85,"01/08/25 00:00:00","اوفو340",41
13657,-1100,,1100,"01/11/25 00:00:00","باقي حساب كروت نظاره",46
44902,2285,2435,150,"01/13/25 00:00:00","نوري825",53
54310,-92,,92,"01/14/25 00:00:00","شاي وسكر",58
42107,-2000,,2000,"01/15/25 00:00:00","د السعدني نقدا",63
107033,38860,39180,320,"01/21/25 00:00:00","تعاقد الشروق",83
64643,22260,22335,75,"01/19/25 00:00:00","نوري1500",77
42617,22980,22980,,"01/12/25 00:00:00","طنطا",52
133313,-75,,75,"01/25/25 00:00:00","نوري1650",94
234145,65795,68795,3000,"01/28/25 00:00:00","د السعدني فايلات حسن",105
257240,-1540,,1540,"01/30/25 00:00:00","حساب المناديل+مواصلات",112
165688,-180,,180,"02/01/25 00:00:00","مرتجع قطرات",119
160208,24170,24255,85,"02/02/25 00:00:00","اوفو 85",125
157298,-2375,,2375,"02/02/25 00:00:00","بيتادين+كلور",129
160823,-20,,20,"02/03/25 00:00:00","طه  الصواف ",135
142533,-74,,74,"02/04/25 00:00:00","سكر 2 ك",141
157880,-120,,120,"02/05/25 00:00:00","مواصلات عصام مرتين ابنسينا+باور الكاميرا",146
147680,-5000,,5000,"02/08/25 00:00:00","د السعدني/النادي",153
162885,-2000,,2000,"02/09/25 00:00:00","السعدني / ريموت",165
104498,-600,,600,"02/11/25 00:00:00","اوردر د السعدني",171
83253,-35,,35,"02/11/25 00:00:00","قطرة د محمد",178
118253,-85,,85,"02/17/25 00:00:00","اوفو",193
144814,-1600,,1600,"02/19/25 00:00:00","البنات",202
143704,-135,,135,"02/20/25 00:00:00","فاتورة مياه",207
115087,-2200,,2200,"02/23/25 00:00:00","تحت حساب جاونات",216
101377,-2020,,2020,"02/25/25 00:00:00","البنات",226
19986,-11099,,11099,"02/26/25 00:00:00","تحت حساب العيادة",231
50621,16600,16600,,"03/02/25 00:00:00","كفرالشيخ",242
34646,-150,,150,"03/02/25 00:00:00","ابو يوسف",247
46616,-150,,150,"03/05/25 00:00:00","نوري375",252
26286,-115,,115,"03/05/25 00:00:00","المركز فودافون",257
47611,-1350,,1350,"03/05/25 00:00:00","تصليح شاشة الشروق",263
25957,-14800,,14800,"03/10/25 00:00:00","مكافأة د السعدني",274
39760,505,755,250,"03/13/25 00:00:00","صيانة كالون باب المركز بطرس",291
46646,-300,,300,"03/16/25 00:00:00","ابو يوسف الدكتورة",303
58210,-1400,,1400,"03/18/25 00:00:00"," حساب الفراشة1200+200مشال",310
66030,2760,2760,,"03/20/25 00:00:00","طنطا",318
87342,-360,,360,"03/23/25 00:00:00","انستا باي مصطفى السعدني",327
112545,5410,5485,75,"03/26/25 00:00:00","نوري2100",338
28979,1450,1705,255,"03/27/25 00:00:00","اوفو",343
27481,1950,1950,,"03/29/25 00:00:00","تقفيل نوري",347
15449,-1762,,1762,"04/06/25 00:00:00","فرق شفتات د سعيد شهر مارس1292+دسما470",358
22854,-80,,80,"04/12/25 00:00:00","مواصلات عصام-باور سبلاي+جهاز الضغط",378
61954,-25000,,25000,"04/16/25 00:00:00","د السعدني -نقدا",392
52479,-100,,100,"04/17/25 00:00:00","ابو يوسف",398
149624,5920,6005,85,"02/22/25 00:00:00","جولد اي",208
136797,-50,,50,"02/23/25 00:00:00","عصام مواصلات ابن سينا",220
24257,-1700,,1700,"03/10/25 00:00:00","الطابعة",275
39595,-37,,37,"03/12/25 00:00:00","سكر",288
12926,-260,,260,"04/06/25 00:00:00","اورانج",355
107185,-119,,119,"04/22/25 00:00:00","فاتورة مياه",408
34621,3880,3965,85,"03/01/25 00:00:00","اوفو",240
109135,-600,,600,"03/26/25 00:00:00","بنزين ابو يوسف",336
48511,-64034,,64034,"03/27/25 00:00:00","المرتبات",339
69504,7655,7815,160,"04/20/25 00:00:00","عصام مواصلات ابن سينا حتى22-4",402
119995,13560,13560,,"04/23/25 00:00:00","رسالة- د محمد",410
109810,-75,,75,"04/24/25 00:00:00","نوري975",416
111460,-200,,200,"04/27/25 00:00:00","تحت حساب شاي وسكر",421
153572,-600,,600,"04/29/25 00:00:00","قطرات30بينوكسيديا+30يونيسيكلومايد",435
80005,-25912,,25912,"05/01/25 00:00:00","باقي المرتبات",444
38947,-260,,260,"05/04/25 00:00:00","عصام مواصلات ابن سينا حتى 08/05+حالة فيمتو",450
35367,-450,,450,"05/05/25 00:00:00","منظفات/خصم6 جنيه",458
24048,-1105,,1105,"05/06/25 00:00:00","مصطفى السعدني /اللاب",464
44406,2485,2675,190,"05/12/25 00:00:00","قطرة اوفتابانتين3/190",487
64320,-120,,120,"05/13/25 00:00:00","فاتورة مياه",495
78510,3810,3810,,"05/15/25 00:00:00","طنطا",500
76625,-365,,365,"05/18/25 00:00:00","ادبتور+مواصلات",505
80625,-35,,35,"05/18/25 00:00:00","بقصماط",511
46410,2020,2970,950,"05/19/25 00:00:00","مصطفى السعدني /الشروق",515
66474,-500,,500,"05/20/25 00:00:00","شهادات البنات",521
77964,990,1990,1000,"05/22/25 00:00:00","سيكلو فرين10",527
108123,7044,7200,156,"05/25/25 00:00:00","شفت هدير الاتنين26-5",533
65185,-16000,,16000,"06/01/25 00:00:00","العيادة",553
99573,-620,,620,"06/01/25 00:00:00","نسبة د سعيد 4 كشوفات*140+كشف *60",558
72095,5504,5660,156,"06/02/25 00:00:00","هدير شفت فني2-6",567
40367,-3680,,3680,"06/10/25 00:00:00"," جاونات100*22 +مناديل سحب2*425+2 حمام*275+80 مشوارين",584
43175,-1700,,1700,"06/14/25 00:00:00","ابو يوسف (الدكتورة+هشام)",596
76024,12949,13105,156,"06/16/25 00:00:00","شفت هدير",609
112093,0,5000,5000,"06/18/25 00:00:00","د محمد عبدالرحيم",621
141433,-5000,,5000,"06/19/25 00:00:00","باقي فلوس فيزا البنك الاهلي تسترد من فلوس العياده +21700",627
180288,-155,,155,"06/23/25 00:00:00","شفت هدير يوم لتنين23-6",637
225198,-190,,190,"06/24/25 00:00:00","مرتجع قطرات يوم الاحد22-7/رامي",645
121819,-275,,275,"06/26/25 00:00:00","بلاطي",653
129289,-2000,,2000,"06/28/25 00:00:00","كهربا",658
164369,-75,,75,"06/29/25 00:00:00","نوري1425",663
151260,58800,58800,,"07/01/25 00:00:00","طنطا",678
122205,-2100,,2100,"07/02/25 00:00:00","السعدني/فلوماك/بنزين",682
96905,-1075,,1075,"07/06/25 00:00:00","اورانج + فودافون",698
56510,-80000,,80000,"07/07/25 00:00:00","بوكسين مشارط SBK130",704
141538,-2500,,2500,"05/28/25 00:00:00","البنات",543
92573,-7000,,7000,"06/01/25 00:00:00","كفر الشيخ",559
66545,-320,,320,"06/15/25 00:00:00","تعاقد الشروق",605
46390,-20,,20,"05/19/25 00:00:00","مواصلات الصواف",516
210518,24515,24515,,"06/23/25 00:00:00",,634
175408,-50,,50,"06/30/25 00:00:00","م.رضا",668
81082,0,11640,11640,"07/08/25 00:00:00","داليا الشروق",712
81082,28032,60032,32000,"07/08/25 00:00:00"," السعدني البيت",711
102692,-1000,,1000,"07/09/25 00:00:00","مواصلات حالة الفيمتو 500 مركز/500 د السعدني",717
87417,-100,,100,"07/13/25 00:00:00","ابويوسف",728
99362,12460,12500,40,"07/14/25 00:00:00","اوردر",733
97907,-155,,155,"07/14/25 00:00:00","شفت هدير يوم الاتنين14-7",738
173047,31770,31770,,"07/16/25 00:00:00","داليا الشروق",745
54482,-100,,100,"07/16/25 00:00:00","جولد اي",751
126632,-2000,,2000,"07/20/25 00:00:00","د السعدني عبدالحميد",758
101292,-225,,225,"07/22/25 00:00:00","كفر موبايل د السعدني",765
99742,-500,,500,"07/22/25 00:00:00","اوردر السعدني",772
90962,-300,,300,"07/22/25 00:00:00","اوفو",778
89002,-150,,150,"07/23/25 00:00:00","ابو يوسف/دوا د السعدني",782
126037,-100,,100,"07/26/25 00:00:00","سيفون حمام",794
130907,-1570,,1570,"07/26/25 00:00:00","دالسعدني",800
139622,-20,,20,"07/29/25 00:00:00","مواصلات طه الصواف",820
165342,-8150,,8150,"07/30/25 00:00:00","السعدني /العربية",827
110000,-55632,,55632,"07/31/25 00:00:00","مرتبات المركز",833
111711,-19250,,19250,"08/04/25 00:00:00","الايجار",860
108526,-160,,160,"08/04/25 00:00:00","مواصلات عصام ابن سينا",869
141761,-40,,40,"08/05/25 00:00:00","مستلزمات د الصواف",873
58126,3400,3450,50,"08/09/25 00:00:00","طه ابن سينا مرتين",880
70488,-4640,,4640,"08/10/25 00:00:00","الطابعة/د سعيد",887
67108,9340,11360,2020,"08/11/25 00:00:00","كهربا",893
